harvest_measurement_id:r2,experiment_name,plot_name,plot_side,block,harvest_name,date,year,system_code,plant_part,crop,measurement_amount,measurement_name,measurement_unit
109,century,1_3,E,1,summer,1998-08-18,1998,CMT,red_fruit,solanum_lycopersicum,57.549,fresh_wt,tonnes/ha
110,century,1_3,W,1,summer,1998-08-18,1998,CMT,red_fruit,solanum_lycopersicum,58.61,fresh_wt,tonnes/ha
111,century,2_3,E,1,summer,1998-08-17,1998,OMT,red_fruit,solanum_lycopersicum,65.927,fresh_wt,tonnes/ha
112,century,2_3,W,1,summer,1998-08-17,1998,OMT,red_fruit,solanum_lycopersicum,60.16,fresh_wt,tonnes/ha
113,century,2_5,E,1,summer,1998-08-18,1998,CWT,red_fruit,solanum_lycopersicum,52.062,fresh_wt,tonnes/ha
114,century,2_5,W,1,summer,1998-08-18,1998,CWT,red_fruit,solanum_lycopersicum,49.906,fresh_wt,tonnes/ha
115,century,4_5,E,2,summer,1998-08-18,1998,CMT,red_fruit,solanum_lycopersicum,55.429,fresh_wt,tonnes/ha
116,century,4_5,W,2,summer,1998-08-18,1998,CMT,red_fruit,solanum_lycopersicum,54.952,fresh_wt,tonnes/ha
117,century,5_3,E,2,summer,1998-08-18,1998,CWT,red_fruit,solanum_lycopersicum,58.048,fresh_wt,tonnes/ha
118,century,5_3,W,2,summer,1998-08-18,1998,CWT,red_fruit,solanum_lycopersicum,52.175,fresh_wt,tonnes/ha
119,century,6_3,E,2,summer,1998-08-18,1998,LMT,red_fruit,solanum_lycopersicum,67.553,fresh_wt,tonnes/ha
120,century,6_3,W,2,summer,1998-08-18,1998,LMT,red_fruit,solanum_lycopersicum,66.466,fresh_wt,tonnes/ha
121,century,6_4,E,2,summer,1998-08-17,1998,OMT,red_fruit,solanum_lycopersicum,74.356,fresh_wt,tonnes/ha
122,century,6_4,W,2,summer,1998-08-17,1998,OMT,red_fruit,solanum_lycopersicum,69.018,fresh_wt,tonnes/ha
123,century,6_6,E,3,summer,1998-08-18,1998,CWT,red_fruit,solanum_lycopersicum,53.631,fresh_wt,tonnes/ha
124,century,6_6,W,3,summer,1998-08-18,1998,CWT,red_fruit,solanum_lycopersicum,55.767,fresh_wt,tonnes/ha
125,century,6_7,E,3,summer,1998-08-18,1998,LMT,red_fruit,solanum_lycopersicum,67.992,fresh_wt,tonnes/ha
126,century,6_7,W,3,summer,1998-08-18,1998,LMT,red_fruit,solanum_lycopersicum,63.13,fresh_wt,tonnes/ha
127,century,6_8,E,3,summer,1998-08-18,1998,OMT,red_fruit,solanum_lycopersicum,62.255,fresh_wt,tonnes/ha
128,century,6_8,W,3,summer,1998-08-18,1998,OMT,red_fruit,solanum_lycopersicum,60.525,fresh_wt,tonnes/ha
129,century,8_9,E,3,summer,1998-08-18,1998,CMT,red_fruit,solanum_lycopersicum,62.47,fresh_wt,tonnes/ha
130,century,8_9,W,3,summer,1998-08-18,1998,CMT,red_fruit,solanum_lycopersicum,63.966,fresh_wt,tonnes/ha
131,century,1_2,E,1,summer,1999-09-01,1999,OMT,red_fruit,solanum_lycopersicum,54.104,fresh_wt,tonnes/ha
132,century,1_2,W,1,summer,1999-09-01,1999,OMT,red_fruit,solanum_lycopersicum,56.507,fresh_wt,tonnes/ha
133,century,1_4,E,1,summer,1999-08-31,1999,CMT,red_fruit,solanum_lycopersicum,8.796,fresh_wt,tonnes/ha
134,century,1_4,W,1,summer,1999-08-31,1999,CMT,red_fruit,solanum_lycopersicum,13.967,fresh_wt,tonnes/ha
135,century,1_5,E,1,summer,1999-08-31,1999,CWT,red_fruit,solanum_lycopersicum,97.893,fresh_wt,tonnes/ha
136,century,1_5,W,1,summer,1999-08-31,1999,CWT,red_fruit,solanum_lycopersicum,94.966,fresh_wt,tonnes/ha
